Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_17_161,VPWR,li1,80.9600,57.1200,1.799999
FILLER_0_17_149,VPWR,li1,76.8200,57.1200,1.799999
FILLER_0_17_137,VPWR,li1,71.3000,57.1200,1.799999
FILLER_0_17_125,VPWR,li1,65.7800,57.1200,1.799999
FILLER_0_17_113,VPWR,li1,60.2600,57.1200,1.799999
FILLER_0_17_111,VPWR,li1,56.8100,57.1200,1.799999
FILLER_0_17_105,VPWR,li1,55.2000,57.1200,1.799999
FILLER_0_17_93,VPWR,li1,51.0600,57.1200,1.799999
FILLER_0_17_81,VPWR,li1,45.5400,57.1200,1.800000
FILLER_0_17_69,VPWR,li1,40.0200,57.1200,1.800000
FILLER_0_17_57,VPWR,li1,34.5000,57.1200,1.800000
FILLER_0_17_54,VPWR,li1,30.8200,57.1200,1.800000
FILLER_0_17_42,VPWR,li1,27.6000,57.1200,1.800000
FILLER_0_17_30,VPWR,li1,22.0800,57.1200,1.800000
FILLER_0_17_18,VPWR,li1,16.5600,57.1200,1.800000
FILLER_0_17_6,VPWR,li1,11.0400,57.1200,1.800000
FILLER_0_16_233,VPWR,li1,114.0800,57.1200,1.799999
FILLER_0_16_221,VPWR,li1,109.9400,57.1200,1.799999
FILLER_0_16_209,VPWR,li1,104.4200,57.1200,1.799999
FILLER_0_16_197,VPWR,li1,98.9000,57.1200,1.799999
FILLER_0_16_195,VPWR,li1,95.4500,57.1200,1.799999
FILLER_0_16_189,VPWR,li1,93.8400,57.1200,1.799999
FILLER_0_16_177,VPWR,li1,89.7000,57.1200,1.799999
FILLER_0_16_165,VPWR,li1,84.1800,57.1200,1.799999
FILLER_0_16_153,VPWR,li1,78.6600,57.1200,1.799999
FILLER_0_16_141,VPWR,li1,73.1400,57.1200,1.799999
FILLER_0_16_139,VPWR,li1,69.6900,57.1200,1.799999
FILLER_0_16_133,VPWR,li1,68.0800,57.1200,1.799999
FILLER_0_16_121,VPWR,li1,63.9400,57.1200,1.799999
FILLER_0_16_109,VPWR,li1,58.4200,57.1200,1.799999
FILLER_0_16_97,VPWR,li1,52.9000,57.1200,1.799999
FILLER_0_16_85,VPWR,li1,47.3800,57.1200,1.800000
FILLER_0_16_83,VPWR,li1,43.9300,57.1200,1.800000
FILLER_0_16_77,VPWR,li1,42.3200,57.1200,1.800000
